country,city,standardConnector,connectorType,durationCharge,durationSession,energy,tariff,cost,meanPower,maxPower,startDate,startTimestamp,weekDayStart,yearStart,hourStart,minuteStart,endDate,endTimestamp,weekDayEnd,yearEnd,hourEnd,minuteEnd,anomaly,class
France,Paris,T2,Rapid,0.48,0.48,5.147,0.0,0.0,10.723,13,05/05/2017 11:44:00+0200,1493977440.0,4,2017.0,11,44,05/05/2017 12:13:00+0200,1493979180.0,4,2017.0,12,13,0,Normal
France,Paris,T2,Rapid,0.15,0.15,2.307,0.0,0.0,15.38,13,04/05/2017 19:44:00+0200,1493919840.0,3,2017.0,19,44,04/05/2017 19:53:00+0200,1493920380.0,3,2017.0,19,53,0,Normal
France,Paris,CHAdeMO,Rapid,0.03,0.03,0.0,1.06,0.0,0.0,32,04/05/2017 03:19:00+0200,1493860740.0,3,2017.0,3,19,04/05/2017 03:21:00+0200,1493860860.0,3,2017.0,3,21,0,Normal
France,Paris,T2,Rapid,0.08,0.08,1.235,0.0,0.0,15.438,13,04/05/2017 19:38:00+0200,1493919480.0,3,2017.0,19,38,04/05/2017 19:43:00+0200,1493919780.0,3,2017.0,19,43,0,Normal
France,Paris,CCS,Rapid,0.86,0.85,15.504,1.2,18.6,18.028,11,19/05/2017 18:09:00+0200,1495210140.0,4,2017.0,18,9,19/05/2017 19:00:00+0200,1495213200.0,4,2017.0,19,0,0,Normal
France,Paris,CHAdeMO,Rapid,0.87,0.87,14.352,0.0,0.0,16.497,12,14/05/2017 19:25:00+0200,1494782700.0,6,2017.0,19,25,14/05/2017 20:17:00+0200,1494785820.0,6,2017.0,20,17,0,Normal
France,Paris,CHAdeMO,Rapid,0.6,0.6,5.655,0.0,0.0,9.425,12,15/05/2017 01:21:00+0200,1494804060.0,0,2017.0,1,21,15/05/2017 01:57:00+0200,1494806220.0,0,2017.0,1,57,0,Normal
France,Paris,CHAdeMO,Rapid,0.15,0.15,2.07,0.18,0.37,13.8,12,15/05/2017 12:32:00+0200,1494844320.0,0,2017.0,12,32,15/05/2017 12:41:00+0200,1494844860.0,0,2017.0,12,41,0,Normal
France,Paris,CHAdeMO,Rapid,0.25,0.25,3.639,0.13,0.47,14.556,12,15/05/2017 13:14:00+0200,1494846840.0,0,2017.0,13,14,15/05/2017 13:29:00+0200,1494847740.0,0,2017.0,13,29,0,Normal
France,Paris,CHAdeMO,Rapid,0.33,0.32,4.443,0.0,0.0,13.464,12,20/05/2017 11:16:00+0200,1495271760.0,5,2017.0,11,16,20/05/2017 11:35:00+0200,1495272900.0,5,2017.0,11,35,0,Normal
France,Paris,T2,Rapid,0.22,0.22,4.065,0.37,1.5,18.477,13,16/05/2017 11:12:00+0200,1494925920.0,1,2017.0,11,12,16/05/2017 11:25:00+0200,1494926700.0,1,2017.0,11,25,0,Normal
France,Paris,TE,Rapid,12.12,12.13,23.233,1.0,23.23,1.917,21,14/05/2017 20:03:00+0200,1494784980.0,6,2017.0,20,3,15/05/2017 08:11:00+0200,1494828660.0,0,2017.0,8,11,0,Normal
France,Paris,TE,Rapid,0.02,0.03,0.0,0.67,0.0,0.0,21,15/05/2017 19:27:00+0200,1494869220.0,0,2017.0,19,27,15/05/2017 19:29:00+0200,1494869340.0,0,2017.0,19,29,0,Normal
France,Paris,TE,Rapid,0.01,0.02,0.003,1.29,0.0,0.3,21,15/05/2017 19:29:00+0200,1494869340.0,0,2017.0,19,29,15/05/2017 19:30:00+0200,1494869400.0,0,2017.0,19,30,0,Normal
France,Paris,TE,Rapid,4.82,4.82,14.112,0.61,8.61,2.928,21,15/05/2017 19:30:00+0200,1494869400.0,0,2017.0,19,30,16/05/2017 00:19:00+0200,1494886740.0,1,2017.0,0,19,0,Normal
France,Paris,TE,Rapid,11.09,11.08,13.871,0.0,0.0,1.251,21,16/05/2017 21:27:00+0200,1494962820.0,1,2017.0,21,27,17/05/2017 08:32:00+0200,1495002720.0,2,2017.0,8,32,0,Normal
France,Paris,TE,Rapid,1.77,1.78,2.759,0.19,0.52,1.559,21,18/05/2017 20:20:00+0200,1495131600.0,3,2017.0,20,20,18/05/2017 22:07:00+0200,1495138020.0,3,2017.0,22,7,0,Normal
France,Paris,TE,Rapid,9.77,9.77,18.919,0.7,13.24,1.936,21,18/05/2017 22:25:00+0200,1495139100.0,3,2017.0,22,25,19/05/2017 08:11:00+0200,1495174260.0,4,2017.0,8,11,0,Normal
France,Paris,CHAdeMO,Rapid,0.68,0.68,7.413,0.43,3.19,10.901,32,15/05/2017 01:20:00+0200,1494804000.0,0,2017.0,1,20,15/05/2017 02:01:00+0200,1494806460.0,0,2017.0,2,1,0,Normal
France,Paris,T2,Rapid,0.07,0.07,0.918,0.36,0.33,13.114,13,04/05/2017 19:30:00+0200,1493919000.0,3,2017.0,19,30,04/05/2017 19:34:00+0200,1493919240.0,3,2017.0,19,34,0,Normal
France,Paris,T2,Rapid,0.08,0.08,1.024,0.64,0.66,12.8,13,04/05/2017 19:21:00+0200,1493918460.0,3,2017.0,19,21,04/05/2017 19:26:00+0200,1493918760.0,3,2017.0,19,26,0,Normal
France,Paris,CHAdeMO,Rapid,0.76,0.77,8.148,0.87,7.09,10.721,32,15/05/2017 08:15:00+0200,1494828900.0,0,2017.0,8,15,15/05/2017 09:01:00+0200,1494831660.0,0,2017.0,9,1,0,Normal
France,Paris,CHAdeMO,Rapid,0.57,0.57,6.075,0.0,0.0,10.658,32,15/05/2017 10:42:00+0200,1494837720.0,0,2017.0,10,42,15/05/2017 11:16:00+0200,1494839760.0,0,2017.0,11,16,0,Normal
France,Paris,CHAdeMO,Rapid,0.5,0.5,4.878,0.89,4.34,9.756,32,17/05/2017 11:44:00+0200,1495014240.0,2,2017.0,11,44,17/05/2017 12:14:00+0200,1495016040.0,2,2017.0,12,14,0,Normal
France,Paris,CHAdeMO,Rapid,0.26,0.25,2.427,0.18,0.44,9.335,32,18/05/2017 17:17:00+0200,1495120620.0,3,2017.0,17,17,18/05/2017 17:32:00+0200,1495121520.0,3,2017.0,17,32,0,Normal
France,Paris,CHAdeMO,Rapid,0.6,0.6,5.703,0.42,2.4,9.505,32,19/05/2017 18:25:00+0200,1495211100.0,4,2017.0,18,25,19/05/2017 19:01:00+0200,1495213260.0,4,2017.0,19,1,0,Normal
France,Paris,CHAdeMO,Rapid,0.55,0.55,3.849,0.0,0.0,6.998,32,20/05/2017 01:40:00+0200,1495237200.0,5,2017.0,1,40,20/05/2017 02:13:00+0200,1495239180.0,5,2017.0,2,13,0,Normal
France,Paris,CHAdeMO,Rapid,0.6,0.6,5.637,0.0,0.0,9.395,32,20/05/2017 08:03:00+0200,1495260180.0,5,2017.0,8,3,20/05/2017 08:39:00+0200,1495262340.0,5,2017.0,8,39,0,Normal
France,Paris,T2,Rapid,0.37,0.37,5.999,0.49,2.94,16.214,13,01/05/2017 09:52:00+0200,1493625120.0,0,2017.0,9,52,01/05/2017 10:14:00+0200,1493626440.0,0,2017.0,10,14,0,Normal
France,Paris,CHAdeMO,Rapid,0.17,0.17,1.533,0.0,0.0,9.018,32,20/05/2017 11:05:00+0200,1495271100.0,5,2017.0,11,5,20/05/2017 11:15:00+0200,1495271700.0,5,2017.0,11,15,0,Normal
France,Paris,CHAdeMO,Rapid,0.58,0.58,6.132,0.34,2.08,10.572,32,20/05/2017 16:25:00+0200,1495290300.0,5,2017.0,16,25,20/05/2017 17:00:00+0200,1495292400.0,5,2017.0,17,0,0,Normal
France,Paris,TE,Rapid,0.96,0.97,2.177,0.0,0.0,2.268,35,18/05/2017 09:26:00+0200,1495092360.0,3,2017.0,9,26,18/05/2017 10:24:00+0200,1495095840.0,3,2017.0,10,24,0,Normal
France,Paris,TE,Rapid,0.94,0.95,2.141,0.0,0.0,2.278,35,18/05/2017 10:24:00+0200,1495095840.0,3,2017.0,10,24,18/05/2017 11:21:00+0200,1495099260.0,3,2017.0,11,21,0,Normal
France,Paris,CHAdeMO,Rapid,0.03,0.03,0.0,0.0,0.0,0.0,32,04/05/2017 03:16:00+0200,1493860560.0,3,2017.0,3,16,04/05/2017 03:18:00+0200,1493860680.0,3,2017.0,3,18,0,Normal
France,Paris,TE,Rapid,0.92,0.93,2.102,0.0,0.0,2.285,35,10/05/2017 10:57:00+0200,1494406620.0,2,2017.0,10,57,10/05/2017 11:53:00+0200,1494409980.0,2,2017.0,11,53,0,Normal
France,Paris,TE,Rapid,1.01,1.02,2.276,0.0,0.0,2.253,35,10/05/2017 09:56:00+0200,1494402960.0,2,2017.0,9,56,10/05/2017 10:57:00+0200,1494406620.0,2,2017.0,10,57,0,Normal
France,Paris,TE,Rapid,1.77,1.77,3.017,0.56,1.69,1.705,35,09/05/2017 20:29:00+0200,1494354540.0,1,2017.0,20,29,09/05/2017 22:15:00+0200,1494360900.0,1,2017.0,22,15,0,Normal
France,Paris,CHAdeMO,Rapid,1.02,1.02,10.482,0.0,0.0,10.276,32,13/05/2017 19:26:00+0200,1494696360.0,5,2017.0,19,26,13/05/2017 20:27:00+0200,1494700020.0,5,2017.0,20,27,0,Normal
France,Paris,CCS,Rapid,0.25,0.25,4.488,0.0,0.0,17.952,11,12/05/2017 13:43:00+0200,1494589380.0,4,2017.0,13,43,12/05/2017 13:58:00+0200,1494590280.0,4,2017.0,13,58,0,Normal
France,Paris,CHAdeMO,Rapid,0.24,0.23,2.181,0.57,1.24,9.088,32,01/05/2017 18:34:00+0200,1493656440.0,0,2017.0,18,34,01/05/2017 18:48:00+0200,1493657280.0,0,2017.0,18,48,0,Normal
France,Paris,CHAdeMO,Rapid,0.55,0.53,4.977,0.0,0.0,9.049,32,12/05/2017 15:05:00+0200,1494594300.0,4,2017.0,15,5,12/05/2017 15:37:00+0200,1494596220.0,4,2017.0,15,37,0,Normal
France,Paris,CHAdeMO,Rapid,0.81,0.82,6.771,0.0,0.0,8.359,32,01/05/2017 17:24:00+0200,1493652240.0,0,2017.0,17,24,01/05/2017 18:13:00+0200,1493655180.0,0,2017.0,18,13,0,Normal
France,Paris,TE,Rapid,4.21,4.22,9.744,1.05,10.23,2.314,21,22/05/2017 19:41:00+0200,1495474860.0,0,2017.0,19,41,22/05/2017 23:54:00+0200,1495490040.0,0,2017.0,23,54,0,Normal
France,Paris,TE,Rapid,5.56,5.55,12.603,0.24,3.02,2.267,21,23/05/2017 20:46:00+0200,1495565160.0,1,2017.0,20,46,24/05/2017 02:19:00+0200,1495585140.0,2,2017.0,2,19,0,Normal
