,Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
14,11684372,617635,51547,2,31/01/2021,21:43,31/01/2021,22:16,8.663,1.67,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA24C3504,Nissan LEAF
15,11684308,604735H,51594,2,31/01/2021,21:33,31/01/2021,21:45,4.24,0.0,"Queen Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804E2D5A707C04,
16,11684307,614734,51584,2,31/01/2021,21:33,31/01/2021,21:42,5.739,1.24,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA26B4404,Nissan LEAF
17,11684306,610537,51422,2,31/01/2021,21:33,31/01/2021,22:33,29.413,4.79,"Princes Street Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805E81826A1604,Multiple vehicles available
18,11684300,605355,51425,2,31/01/2021,21:32,31/01/2021,22:12,13.207,2.36,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804D1CC23C4F04,Nissan LEAF
19,11684260,618311,51424,2,31/01/2021,21:26,31/01/2021,21:40,10.139,1.9,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612464004,Nissan LEAF
20,11684239,622113,51426,2,31/01/2021,21:23,31/01/2021,22:08,28.752,4.69,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,806169921B6204,Nissan LEAF
21,11684236,615824,50267,2,31/01/2021,21:23,01/02/2021,07:31,8.22,0.0,"Social Work Building, Jack Martin Way, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,8062CBA25C1704,
22,11684213,606789,51595,2,31/01/2021,21:19,31/01/2021,22:03,18.194,0.0,"Queen Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804D1CC21F2104,Kia Soul EV
23,11684193,604724H,50373,1,31/01/2021,21:17,01/02/2021,07:04,15.71,0.0,"Janet Brougham House, Banchory Road, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,804E2D5A6D0B04,
